İLÇE,OKUL ADI,2022,2023,2024,2025 Tahmin,ALAN,OKUL TÜRÜ
ŞEREFLİKOÇHİSAR,Şereflikoçhisar Anadolu İmam Hatip Lisesi,74.95,64.74,46.49,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
AKYURT,Muhammed Hamdi Yazır Anadolu İmam Hatip Lisesi,97.82,0.0,46.57,,FEN VE SOSYAL BİLİMLER PROGRAMI,Hazırlık Sınıfı Bulunan Anadolu İmam Hatip Lisesi
POLATLI,Polatlı Anadolu İmam Hatip Lisesi,38.28,42.8,47.08,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
YENİMAHALLE (MERKEZ),Yenimahalle Zeynep-Salih Alp Mesleki ve Teknik Anadolu Lisesi,48.05,48.55,47.09,,GRAFİK VE FOTOĞRAF ALANI,Anadolu Teknik Programı
ÇANKAYA (MERKEZ),Balgat Mesleki ve Teknik Anadolu Lisesi,52.48,47.93,48.47,,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI,Anadolu Teknik Programı
GÖLBAŞI,Gölbaşı Mesleki ve Teknik Anadolu Lisesi,52.18,51.13,49.65,,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI,Anadolu Teknik Programı
YENİMAHALLE (MERKEZ),Yenimahalle Zeynep-Salih Alp Mesleki ve Teknik Anadolu Lisesi,48.05,48.55,50.99,,YİYECEK İÇECEK HİZMETLERİ ALANI (SINAVLI),Anadolu Meslek Programı
YENİMAHALLE (MERKEZ),Mehmet Rüştü Uzel Mesleki ve Teknik Anadolu Lisesi,62.8,57.42,51.76,,KİMYA TEKNOLOJİSİ ALANI,Anadolu Teknik Programı
KEÇİÖREN (MERKEZ),Şehit Mehmet Karakaşoğlu Mesleki ve Teknik Anadolu Lisesi,52.26,49.93,52.5,,MAKİNE VE TASARIM TEKNOLOJİSİ ALANI,Anadolu Teknik Programı
ALTINDAĞ (MERKEZ),Atatürk Mesleki ve Teknik Anadolu Lisesi,55.43,56.25,54.43,,YİYECEK İÇECEK HİZMETLERİ ALANI (SINAVLI),Anadolu Meslek Programı
MAMAK (MERKEZ),Ege Mesleki ve Teknik Anadolu Lisesi,0.0,52.63,54.85,,YENİLENEBİLİR ENERJİ TEKNOLOJİLERİ ALANI,Anadolu Teknik Programı
SİNCAN (MERKEZ),Başkent OSB Mesleki ve Teknik Anadolu Lisesi,0.0,51.97,55.52,,MAKİNE VE TASARIM TEKNOLOJİSİ ALANI (SINAVLI),Anadolu Meslek Programı
AKYURT,Akyurt Şükrü Acar Anadolu İmam Hatip Lisesi,33.51,87.47,56.28,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
